NAME                      STATUS   AGE     LABELS
default                   Active   4h48m   kubernetes.io/metadata.name=default
irestrict-apps            Active   4h41m   app.kubernetes.io/part-of=irestrict-v3,istio-injection=enabled,kubernetes.io/metadata.name=irestrict-apps
irestrict-identity        Active   4h41m   app.kubernetes.io/part-of=irestrict-v3,kubernetes.io/metadata.name=irestrict-identity
irestrict-observability   Active   4h41m   app.kubernetes.io/part-of=irestrict-v3,kubernetes.io/metadata.name=irestrict-observability
irestrict-security        Active   4h41m   app.kubernetes.io/part-of=irestrict-v3,kubernetes.io/metadata.name=irestrict-security
irestrict-system          Active   4h41m   app.kubernetes.io/part-of=irestrict-v3,kubernetes.io/metadata.name=irestrict-system
kube-node-lease           Active   4h48m   kubernetes.io/metadata.name=kube-node-lease
kube-public               Active   4h48m   kubernetes.io/metadata.name=kube-public
kube-system               Active   4h48m   addonmanager.kubernetes.io/mode=Reconcile,control-plane=true,kubernetes.azure.com/managedby=aks,kubernetes.io/cluster-service=true,kubernetes.io/metadata.name=kube-system
